VariableMeaning,VariableName,VariableClass
Texture_si03_M5,ls213,0
Texture_si03_M6,ls214,0
Texture_si03_M7,ls215,0
Texture_si03_M8,ls216,0
Texture_si03_M9,ls217,0
Texture_vi01_M1,ls218,0
Texture_vi01_M10,ls219,0
Texture_vi01_M11,ls220,0
Texture_vi01_M12,ls221,0
Texture_vi01_M13,ls222,0
Texture_vi01_M2,ls223,0
Texture_vi01_M3,ls224,0
Texture_vi01_M4,ls225,0
Texture_vi01_M5,ls226,0
Texture_vi01_M6,ls227,0
Texture_vi01_M7,ls228,0
Texture_vi01_M8,ls229,0
Texture_vi01_M9,ls230,0
Texture_vi02_M1,ls231,0
Texture_vi02_M10,ls232,0
Texture_vi02_M11,ls233,0
Texture_vi02_M12,ls234,0
Texture_vi02_M13,ls235,0
Texture_vi02_M2,ls236,0
Texture_vi02_M3,ls237,0
Texture_vi02_M4,ls238,0
Texture_vi02_M5,ls239,0
Texture_vi02_M6,ls240,0
Texture_vi02_M7,ls241,0
Texture_vi02_M8,ls242,0
Texture_vi02_M9,ls243,0
Texture_vi03_M1,ls244,0
Texture_vi03_M10,ls245,0
Texture_vi03_M11,ls246,0
Texture_vi03_M12,ls247,0
Texture_vi03_M13,ls248,0
Texture_vi03_M2,ls249,0
Texture_vi03_M3,ls250,0
Texture_vi03_M4,ls251,0
Texture_vi03_M5,ls252,0
Texture_vi03_M6,ls253,0
Texture_vi03_M7,ls254,0
Texture_vi03_M8,ls255,0
Texture_vi03_M9,ls256,0
